Радиация,Температура,Время,Выживаемость
0.0,41.8,48.702626473862374,0.50089574
0.0,41.8,49.113478660614575,0.5016763
0.0,41.8140732095645,44.967966407200066,0.51784956
0.0,41.90082313676542,46.2866373279928,0.50269306
0.0,41.903403214785435,46.59204936903014,0.50541365
0.0,41.93403188467833,45.66141696231805,0.5039687
0.0,41.95766008203219,44.814110978294174,0.5034514
0.0,41.968050300401686,41.95750734561909,0.51037824
0.0,41.978200967857724,40.361723039088986,0.512481
0.0,41.983281625983025,41.73647090462531,0.5124842
0.0,41.98969155827847,50.0,0.48376524
0.0,42.06197895587613,41.1792433542102,0.5046021
0.0,42.094320393201514,49.39947871495602,0.46908405
0.0,42.11067648926034,43.05201682291241,0.49435323
0.0,42.12881072571125,44.28612601217826,0.48592663
0.0,42.13951814712478,44.16577298385506,0.48219168
0.0,42.26016160597944,47.16924010042939,0.4496639
0.0,42.60524699047685,46.060046779607255,0.27991027
0.0,42.6068888217047,43.238654188139556,0.28443938
0.0,42.71934268066938,46.10788942929,0.1967357
0.0,42.72015434815508,38.54125945272745,0.19535202
0.0,42.72632740384217,44.464900725915655,0.19137116
0.0,42.76798340754618,50.0,0.19229612
0.0,42.8135257513636,38.14266826651515,0.1460997
0.0,42.8273529934039,46.69427757997329,0.17048353
0.0,42.83397331788391,47.888136288191355,0.17562291
0.0,42.865655842148385,41.23751703901319,0.1438396
0.0,42.86870647273482,45.39316559918221,0.15994014
0.0,42.87843522147688,39.703837238910076,0.13824007
0.0,42.897219874670235,41.40314580601837,0.14371482
0.0,42.906757843561216,44.735245611806135,0.1548743
0.0,42.93795579855005,49.26474857001802,0.17370774
0.0,43.00171762770164,49.15645902155427,0.17092861
0.0,43.01497226125001,48.95585377865842,0.16649637
0.0,43.05919814532997,44.91993905611639,0.1489372
0.0,43.06849969338208,42.390665901584896,0.13678712
0.0,43.0798088281293,41.039768436788094,0.12898165
0.0,43.082629495190524,44.300374505380816,0.1456207
0.0,43.09999740818637,44.176942345010865,0.14402744
0.0,43.103620340405996,43.41239697056546,0.13998526
0.0,43.12749632096726,44.00127201003996,0.13994579
0.0,43.13664248080021,49.17076598253597,0.15962559
0.0,43.139783937016155,43.7705962686194,0.13971293
