Радиация,Температура,Время,Выживаемость,source,Интервал_мин,Гипоксия_предположенная,CEM43,Подавление_репарации,Оксигенация_выигрыш,Синергия,Радиосенсибилизация,Прямая_цитотоксичность,Риск_высокой_температуры,Оценка_правил,log_survival,Неопределенность_CVAE,Источник,RuleConsistency
0.0,41.8,48.702626473862374,0.50089574,synthetic_condition,0.0,0.7,9.2274222223751,1.0,0.8049999999999999,0.0,0.5,0.012730617681345948,0.0016308923796165967,0.24288538217169725,-6.0,0.009576848,CVAE+merged_rules,1.0
0.0,41.8,49.113478660614575,0.5016763,synthetic_condition,0.0,0.7,9.305264155606018,1.0,0.8049999999999999,0.0,0.5,0.012789882573274831,0.0016463365539292145,0.24312408086959816,-6.0,0.0148869455,CVAE+merged_rules,1.0
0.0,41.8140732095645,44.967966407200066,0.51784956,synthetic_condition,0.0,0.7,8.68768717845163,1.0,0.8049999999999999,0.0,0.5,0.012418004964152869,0.0016272953842680204,0.2411892587795051,-6.0,0.013312228,CVAE+merged_rules,1.0
0.0,41.90082313676542,46.2866373279928,0.50269306,synthetic_condition,0.0,0.7,10.08521632585141,1.0,0.8049999999999999,0.0,0.5,0.014133964709729954,0.0025649091263980333,0.24549786150191277,-6.0,0.009402166,CVAE+merged_rules,1.0
0.0,41.903403214785435,46.59204936903014,0.50541365,synthetic_condition,0.0,0.7,10.188136675936638,1.0,0.8049999999999999,0.0,0.5,0.014241194208869034,0.0026129526532119056,0.24579172039345198,-6.0,0.008134365,CVAE+merged_rules,1.0
0.0,41.93403188467833,45.66141696231805,0.5039687,synthetic_condition,0.0,0.7,10.417718788589832,1.0,0.8049999999999999,0.0,0.5,0.014742716887317247,0.0029923891689747264,0.2464649848551124,-6.0,0.011119202,CVAE+merged_rules,1.0
0.0,41.95766008203219,44.814110978294174,0.5034514,synthetic_condition,0.0,0.7,10.564857006895371,1.0,0.8049999999999999,0.0,0.5,0.015143436783867262,0.003318892036992131,0.24689812707526518,-6.0,0.010667831,CVAE+merged_rules,1.0
0.0,41.968050300401686,41.95750734561909,0.51037824,synthetic_condition,0.0,0.7,10.034923177474203,1.0,0.8049999999999999,0.0,0.5,0.014859891764642618,0.003364901592401476,0.2454356335165518,-6.0,0.008248767,CVAE+merged_rules,1.0
0.0,41.978200967857724,40.361723039088986,0.512481,synthetic_condition,0.0,0.7,9.790060632855022,1.0,0.8049999999999999,0.0,0.5,0.01481843042175901,0.0034841025881860565,0.244745698130196,-6.0,0.0075689964,CVAE+merged_rules,1.0
0.0,41.983281625983025,41.73647090462531,0.5124842,synthetic_condition,0.0,0.7,10.195071322629351,1.0,0.8049999999999999,0.0,0.5,0.015198635206075511,0.0036208919919729706,0.2459118947422355,-6.0,0.010074622,CVAE+merged_rules,1.0
