Радиация,Температура,Время,Выживаемость,source,Интервал_мин,Гипоксия_предположенная,CEM43,Подавление_репарации,Оксигенация_выигрыш,Синергия,Радиосенсибилизация,Прямая_цитотоксичность,Риск_высокой_температуры,Оценка_правил,log_survival
0.0,42.0,45.0,0.53,observed,0.0,0.7,11.25,1.0,0.8049999999999999,0.0,0.5,0.016316640033085816,0.00410829262223018,0.24877723975812718,-0.2757233109764332
0.0,43.0,45.0,0.18,observed,0.0,0.7,45.0,1.0,0.2605360496277662,0.0,0.5,0.33999400745631003,0.30691648960260975,0.3204417097715395,-0.7447250821562743
0.0,44.0,30.0,0.021,observed,0.0,0.7,60.0,0.1267042501241452,0.0189392434276393,0.0,0.19434648754345082,0.6243819267032209,0.5512299658892972,0.20524028599150654,-1.677760025068848
2.0,42.0,45.0,0.26,observed,0.0,0.7,11.25,1.0,0.8049999999999999,0.9609728531932831,0.9609932132983208,0.016316640033085816,0.00410829262223018,0.5883523533329181,-0.5850249816690024
2.0,43.0,45.0,0.051,observed,0.0,0.7,45.0,1.0,0.2605360496277662,0.8520800631188363,0.852100423223874,0.33999400745631003,0.30691648960260975,0.575080447088262,-1.292421308407472
2.0,44.0,30.0,0.008,observed,0.0,0.7,60.0,0.1267042501241452,0.0189392434276393,0.47190831692598606,0.41516445328909324,0.6243819267032209,0.5512299658892972,0.3624564922495007,-2.0968557295904615
4.0,42.0,45.0,0.26,observed,0.0,0.7,11.25,1.0,0.8049999999999999,0.9609728531932831,0.9609932132983208,0.016316640033085816,0.00410829262223018,0.6583523533329182,-0.5850249816690024
4.0,43.0,45.0,0.051,observed,0.0,0.7,45.0,1.0,0.2605360496277662,0.8520800631188363,0.852100423223874,0.33999400745631003,0.30691648960260975,0.6450804470882621,-1.292421308407472
4.0,44.0,30.0,0.008,observed,0.0,0.7,60.0,0.1267042501241452,0.0189392434276393,0.47190831692598606,0.41516445328909324,0.6243819267032209,0.5512299658892972,0.4324564922495008,-2.0968557295904615
6.0,42.0,45.0,0.022,observed,0.0,0.7,11.25,1.0,0.8049999999999999,0.9609728531932831,0.9609932132983208,0.016316640033085816,0.00410829262223018,0.728352353332918,-1.6575575789681631
6.0,43.0,45.0,0.012,observed,0.0,0.7,45.0,1.0,0.2605360496277662,0.8520800631188363,0.852100423223874,0.33999400745631003,0.30691648960260975,0.715080447088262,-1.920782564253433
6.0,44.0,30.0,0.0003,observed,0.0,0.7,60.0,0.1267042501241452,0.0189392434276393,0.47190831692598606,0.41516445328909324,0.6243819267032209,0.5512299658892972,0.5024564922495007,-3.5214335044061564
8.0,42.0,45.0,0.0007,observed,0.0,0.7,11.25,1.0,0.8049999999999999,0.9609728531932831,0.9609932132983208,0.016316640033085816,0.00410829262223018,0.7983523533329181,-3.1542819820333414
8.0,43.0,45.0,4e-05,observed,0.0,0.7,45.0,1.0,0.2605360496277662,0.8520800631188363,0.852100423223874,0.33999400745631003,0.30691648960260975,0.7850804470882621,-4.3872161432802645
8.0,44.0,30.0,0.0,observed,0.0,0.7,60.0,0.1267042501241452,0.0189392434276393,0.47190831692598606,0.41516445328909324,0.6243819267032209,0.5512299658892972,0.5724564922495008,-6.0
0.17384995355393143,41.980642997836036,46.61922134525173,0.41149177469136505,bootstrap,0.0,0.7,11.346213401372594,1.0,0.8049999999999999,0.9609728531932831,0.9609932132983208,0.016117727131379784,0.0038391332617384844,0.5246548838607259,-0.38563778606342214
0.0,41.967220826027116,48.94803203876848,0.5962806810514314,bootstrap,0.0,0.7,11.69338409038804,1.0,0.8049999999999999,0.0,0.5,0.016259542301044712,0.0037719900553292406,0.2498556779696852,-0.22454853283183174
0.0,42.07595840610203,43.841455767968846,0.4706566122408687,bootstrap,0.0,0.7,12.177453856069842,1.0,0.8049999999999999,0.0,0.5,0.01858822675466126,0.005884391504349917,0.25123751994861826,-0.3272949128020041
0.08468679504811194,41.8,40.68770541871742,0.28909913620866573,bootstrap,0.0,0.7,7.708878644555581,1.0,0.8049999999999999,0.9609728531932831,0.9609932132983208,0.011676994044339735,0.001438592649953343,0.5103780971766819,-0.5389517037127459
0.0,42.04399462656334,42.72993981119697,0.39804840731273766,bootstrap,0.0,0.7,11.354282467492721,1.0,0.8049999999999999,0.0,0.5,0.017177650699689084,0.004950071430750897,0.24912655091775537,-0.4000630183997977
0.5129770691225439,41.96839131793188,45.16882051171981,0.2328571998524786,bootstrap,0.0,0.7,10.808077143777833,1.0,0.8049999999999999,0.9609728531932831,0.9609932132983208,0.015484449677084636,0.0035207733217956796,0.5350985992597888,-0.6329084642462506
0.0,42.01552916255938,42.12251605644424,0.5560008188399003,bootstrap,0.0,0.7,10.759790134167787,1.0,0.8049999999999999,0.0,0.5,0.016158778045616412,0.00426776883109728,0.24751582215553616,-0.25492378771499263
0.0,41.959162875028944,43.495733469426504,0.7334176611760862,bootstrap,0.0,0.7,10.275436229739022,1.0,0.8049999999999999,0.0,0.5,0.014929212249430817,0.003280218353644047,0.24610155338159717,-0.13464804400359437
0.0,41.85192046994617,47.05636228025797,0.4188016275698569,bootstrap,0.0,0.7,9.580884371440067,1.0,0.8049999999999999,0.0,0.5,0.01333191496381503,0.002040130702447885,0.24398900188983821,-0.37799060221881636
0.07310225825166439,41.8,41.67953487775392,0.33240277454524364,bootstrap,0.0,0.7,7.8967951873324145,1.0,0.8049999999999999,0.9609728531932831,0.9609932132983208,0.011797755905739513,0.0014526840871683017,0.5106417606420413,-0.47833405331493084
0.25846330299839365,42.02399155936659,44.7108792940294,0.29096688314705155,bootstrap,0.0,0.7,11.555735097922591,1.0,0.8049999999999999,0.9609728531932831,0.9609932132983208,0.016981737926578217,0.004606848810954176,0.5282194633630575,-0.5361549455219228
0.0,41.89922181082474,43.84840307260053,0.6369139755091308,bootstrap,0.0,0.7,9.532773500417475,1.0,0.8049999999999999,0.0,0.5,0.013691087701928678,0.0024460087592811396,0.2438870481252002,-0.19591853961407454
0.12026640134896148,41.8,45.81020992348699,0.2959880054667609,bootstrap,0.0,0.7,8.679411762043499,1.0,0.8049999999999999,0.9609728531932831,0.9609932132983208,0.012328542565995517,0.0015385804706837334,0.51493809568564,-0.5287244205417273
0.0,42.08563468043772,47.57749880623988,0.6049506472823577,bootstrap,0.0,0.7,13.393646447501702,1.0,0.8049999999999999,0.0,0.5,0.020029177426299293,0.0065868612918799346,0.2540689247000092,-0.2182793363519178
0.0,41.95671026738083,45.82815857850891,0.622474834023242,bootstrap,0.0,0.7,10.789700751144519,1.0,0.8049999999999999,0.0,0.5,0.015319087905416176,0.0033594945373276236,0.24750444678031433,-0.20587750423877443
0.0,41.974007743267066,42.23416256498493,0.4182618150359434,bootstrap,0.0,0.7,10.184858462645327,1.0,0.8049999999999999,0.0,0.5,0.015057619838136109,0.003476757285320257,0.24586893497746476,-0.3785507439360763
0.2843840378379693,42.189873603999914,44.819974696049165,0.35351414778818846,bootstrap,0.0,0.7,14.578972476511868,1.0,0.8049999999999999,0.9609728531932831,0.9609932132983208,0.024521676715284862,0.010474742937233737,0.5364614132828183,-0.4515919723624768
0.12657260876667195,41.909683234355285,45.903489013771036,0.4176698012837386,bootstrap,0.0,0.7,10.125339502097443,1.0,0.8049999999999999,0.9609728531932831,0.9609932132983208,0.01425114809185937,0.002662102423784701,0.5196257406452973,-0.37916588452561295
0.0,42.219050111813964,38.45063723977564,0.5724726573386015,bootstrap,0.0,0.7,13.023414368829592,1.0,0.8049999999999999,0.0,0.5,0.02419486620467508,0.01129150185485935,0.2537243457771985,-0.24224449280589008
0.030466473883359928,41.958138970934776,45.22940194133876,0.21905237044355544,bootstrap,0.0,0.7,10.669842360607797,1.0,0.8049999999999999,0.9609728531932831,0.9609932132983208,0.015236312803930795,0.0033491274446469633,0.5178252451188257,-0.6594500602042418
0.0,42.04999576001165,48.69473511185379,0.46556781053301916,bootstrap,0.0,0.7,13.047354523625295,1.0,0.8049999999999999,0.0,0.5,0.018911248888357286,0.005656407922460479,0.25321418630713505,-0.3320161217153662
0.0,41.92975401389816,47.28850529425519,0.5531437719767878,bootstrap,0.0,0.7,10.725148097951125,1.0,0.8049999999999999,0.0,0.5,0.014953281959196162,0.0030201532487392534,0.24729878744625458,-0.25716118796814014
0.0,42.07185744063587,45.2426938733701,0.6124151490066349,bootstrap,0.0,0.7,12.495422776712596,1.0,0.8049999999999999,0.0,0.5,0.018797945400194593,0.005890597616759568,0.2519838960133935,-0.2129533657660704
0.0,41.95412729947631,44.0197296171696,0.39814557305146403,bootstrap,0.0,0.7,10.326883118979175,1.0,0.8049999999999999,0.0,0.5,0.01490626573118121,0.003222418829544466,0.2462381596328305,-0.39995701800439476
0.10364209697260161,42.036547738105185,45.012783641606156,0.2978368244033929,bootstrap,0.0,0.7,11.838040204402672,1.0,0.8049999999999999,0.9609728531932831,0.9609932132983208,0.017463169549901406,0.004926410769488594,0.5235281345381211,-0.5260201491407661
0.0,41.94110965481285,44.14321370868308,0.45024986545073115,bootstrap,0.0,0.7,10.170643585235414,1.0,0.8049999999999999,0.0,0.5,0.014624731209447822,0.003025756114408421,0.2457840589803265,-0.3465454437274948
