Радиация,Температура,Время,Выживаемость,thermal_rank,thermal_label,CEM43,generation_block
0.0,43.0,45.0,0.2594784139603981,1,43C_45min,45.0,35
4.0,43.0,45.0,0.033342818219852965,1,43C_45min,45.0,49
6.0,43.0,45.0,0.014699733769989076,1,43C_45min,45.0,49
2.0,44.0,30.0,0.0059642392655068314,2,44C_30min,60.0,44
6.0,44.0,30.0,0.00040962311756680944,2,44C_30min,60.0,27
4.0,44.0,30.0,0.008452903761189212,2,44C_30min,60.0,45
0.0,43.0,45.0,0.34633484248176055,1,43C_45min,45.0,42
4.0,44.0,30.0,0.009634577763230335,2,44C_30min,60.0,34
6.0,42.0,45.0,0.01955613447134167,0,42C_45min,11.25,57
4.0,42.0,45.0,0.23589771667894618,0,42C_45min,11.25,9
4.0,42.0,45.0,0.23340851280762437,0,42C_45min,11.25,54
4.0,42.0,45.0,0.2582482326477068,0,42C_45min,11.25,5
6.0,44.0,30.0,0.00036767263600490693,2,44C_30min,60.0,42
2.0,42.0,45.0,0.1782298083774157,0,42C_45min,11.25,65
8.0,43.0,45.0,5.739576154404694e-05,1,43C_45min,45.0,62
2.0,43.0,45.0,0.04028326003962399,1,43C_45min,45.0,60
0.0,42.0,45.0,0.53,0,42C_45min,11.25,19
2.0,42.0,45.0,0.17812733674397208,0,42C_45min,11.25,59
0.0,43.0,45.0,0.17763540221070467,1,43C_45min,45.0,51
6.0,42.0,45.0,0.0333363381092217,0,42C_45min,11.25,21
8.0,44.0,30.0,0.0,2,44C_30min,60.0,36
8.0,44.0,30.0,0.0,2,44C_30min,60.0,11
0.0,43.0,45.0,0.1640119109169162,1,43C_45min,45.0,25
4.0,43.0,45.0,0.05475289551078219,1,43C_45min,45.0,35
2.0,44.0,30.0,0.009123839860259456,2,44C_30min,60.0,14
0.0,42.0,45.0,0.53,0,42C_45min,11.25,16
0.0,43.0,45.0,0.1335031581842421,1,43C_45min,45.0,7
0.0,43.0,45.0,0.26122137911342136,1,43C_45min,45.0,66
4.0,43.0,45.0,0.04028326003962399,1,43C_45min,45.0,60
4.0,43.0,45.0,0.03960313975488389,1,43C_45min,45.0,63
4.0,42.0,45.0,0.24249414767588837,0,42C_45min,11.25,23
