metric,mean,std,min,max
mean_wasserstein_normalized,0.004660701763432513,0.00036838008764640567,0.004221470641799145,0.005307197593139668
mean_ks_statistic,0.02,0.0008030200930495263,0.01875,0.021083333333333332
pearson_correlation_frobenius,0.0072921038529899585,0.0020876993984889924,0.004321617973796696,0.010616693138428203
pearson_correlation_mean_abs_diff,0.0012574812450766464,0.0004682999641455876,0.0006108134860447621,0.001990881576959196
spearman_correlation_frobenius,0.05737024167450419,0.0027614075305651764,0.05426462778297369,0.06205952433563508
spearman_correlation_mean_abs_diff,0.00908163425492014,0.0006195768906834046,0.008200657245707607,0.009957803563217219
separability_auc_mean,0.3674166666666666,0.035525371612675556,0.3075555555555555,0.4235555555555555
separability_auc_std,0.10924238300128067,0.025288666345527278,0.0560815103440442,0.13415469235729877
separability_auc_distance_from_0_5,0.13258333333333333,0.03552537161267556,0.07644444444444448,0.19244444444444447
separability_gini_mean,-0.26516666666666666,0.07105074322535114,-0.3848888888888889,-0.15288888888888888
separability_gini_abs_mean,0.2965,0.058468369778455986,0.20177777777777778,0.3848888888888889
tstr_mae,0.002132016884732758,0.00011861985811554791,0.0019989263115573258,0.0023371986029787346
tstr_rmse,0.004192197554062088,0.0003283450909020277,0.003735826177679417,0.004531229434229599
tstr_r2,0.9991806766799968,0.0001270618165160977,0.99904790775692,0.9993528272191299
trtr_mae_leave_one_out,0.09596009184827442,0.0014581952023785222,0.09355600693386243,0.09787888468795096
trtr_rmse_leave_one_out,0.13182034317742344,0.0015067591714939777,0.12988508669672574,0.13391478732610232
trtr_r2_leave_one_out,0.19413657767845663,0.018438346987293477,0.1684200815705642,0.2177141073919071
tstr_to_trtr_mae_ratio,0.02221357843603974,0.0010845228726772088,0.020630262186331353,0.023878476041385127
real_to_synth_mean_nn_distance,0.0015985070366332562,0.0009432398631237278,0.0005884069028910773,0.0028378364465782052
synth_to_real_mean_nn_distance,0.07199664366889616,0.003692414796004786,0.06780052212827588,0.07753771131218667
duplicate_rate_vs_real,0.123,0.0029760952365713825,0.119,0.129
support_violation_rate_mean,0.0,0.0,0.0,0.0
support_violation_rate_max,0.0,0.0,0.0,0.0
exact_design_support_rate,1.0,0.0,1.0,1.0
local_mean_abs_error,0.0021390083076379823,0.00012644950882605027,0.0019858631416211094,0.002363799951895569
local_max_abs_error,0.011394304373814813,0.0016750531958098843,0.00901834586440392,0.013198795563898913
radiation_monotonicity_mean_rate,1.0,0.0,1.0,1.0
thermal_monotonicity_mean_rate,1.0,0.0,1.0,1.0
high_combined_dose_low_survival_rate,1.0,0.0,1.0,1.0
independent_article_compliance_mean,1.0,0.0,1.0,1.0
