Радиация,Температура,Время,real_survival,synthetic_mean,bootstrap_mean,bootstrap_std,ci95_low,ci95_high,real_inside_ci95,n_rows
0.0,42.0,45.0,0.53,0.5177909053458293,0.5178537624117027,0.003946890813529171,0.5093784369691747,0.5247698872881604,False,67
0.0,43.0,45.0,0.18,0.18583520697433265,0.18606957119449685,0.005989100374214966,0.1748008004216377,0.19858904025450175,True,67
0.0,44.0,30.0,0.021,0.021797012890458507,0.021776080080548897,0.0007435671294859455,0.020329860854979596,0.02322377129817932,True,67
2.0,42.0,45.0,0.26,0.27106770255789003,0.27097599700913955,0.007126635799036719,0.25751705402854247,0.2851147088986599,True,67
2.0,43.0,45.0,0.051,0.053283377878922164,0.053324170232065926,0.001468572694087454,0.05053710437807309,0.056216682461291974,True,67
2.0,44.0,30.0,0.008,0.008309315801540554,0.008310533978800617,0.0001806795369747865,0.007960382218766054,0.008671168388423738,True,67
4.0,42.0,45.0,0.26,0.26049532087349897,0.26043380178905773,0.006272908772413515,0.2486145239902417,0.27333878796213057,True,67
4.0,43.0,45.0,0.051,0.05136627030525194,0.05132996103217026,0.0013787697297755436,0.048758107711110735,0.05419124981984086,True,66
4.0,44.0,30.0,0.008,0.00797265505067442,0.007973528419690843,0.00017615306265044187,0.0076160760944800916,0.00831724538140703,True,66
6.0,42.0,45.0,0.022,0.022499319541188664,0.02247951873928655,0.000551646888029255,0.021415655594575755,0.023564554148910816,True,66
6.0,43.0,45.0,0.012,0.012208365311021959,0.012190978308383124,0.0002811464032437378,0.011620861424018553,0.012740500644452516,True,67
6.0,44.0,30.0,0.0003,0.0003089814774076394,0.0003089376291012782,1.0116213918791414e-05,0.0002901686572385373,0.0003297319936026926,True,66
8.0,42.0,45.0,0.0007,0.0007220783398535179,0.0007216600837478237,2.2362036704739814e-05,0.0006782963397922448,0.0007668388184245288,True,67
8.0,43.0,45.0,4e-05,4.1380919285751824e-05,4.136717460667338e-05,1.3361475456537225e-06,3.884278720593686e-05,4.397140852442084e-05,True,67
8.0,44.0,30.0,0.0,2.6765289461484588e-08,2.6310755092217603e-08,1.1482691374176889e-08,8.518535199937183e-09,5.225351013155038e-08,False,66
