Радиация,Температура,Время,Выживаемость
0.0,43.0,45.0,0.2594784139603981
4.0,43.0,45.0,0.033342818219852965
6.0,43.0,45.0,0.014699733769989076
2.0,44.0,30.0,0.0059642392655068314
6.0,44.0,30.0,0.00040962311756680944
4.0,44.0,30.0,0.008452903761189212
0.0,43.0,45.0,0.34633484248176055
4.0,44.0,30.0,0.009634577763230335
6.0,42.0,45.0,0.01955613447134167
4.0,42.0,45.0,0.23589771667894618
4.0,42.0,45.0,0.23340851280762437
4.0,42.0,45.0,0.2582482326477068
6.0,44.0,30.0,0.00036767263600490693
2.0,42.0,45.0,0.1782298083774157
8.0,43.0,45.0,5.739576154404694e-05
2.0,43.0,45.0,0.04028326003962399
0.0,42.0,45.0,0.53
2.0,42.0,45.0,0.17812733674397208
0.0,43.0,45.0,0.17763540221070467
6.0,42.0,45.0,0.0333363381092217
8.0,44.0,30.0,0.0
8.0,44.0,30.0,0.0
0.0,43.0,45.0,0.1640119109169162
4.0,43.0,45.0,0.05475289551078219
2.0,44.0,30.0,0.009123839860259456
0.0,42.0,45.0,0.53
0.0,43.0,45.0,0.1335031581842421
0.0,43.0,45.0,0.26122137911342136
4.0,43.0,45.0,0.04028326003962399
4.0,43.0,45.0,0.03960313975488389
4.0,42.0,45.0,0.24249414767588837
6.0,42.0,45.0,0.01906685460183899
6.0,44.0,30.0,0.0002702318571863653
6.0,42.0,45.0,0.013330383206515929
0.0,42.0,45.0,0.53
4.0,44.0,30.0,0.009293390669391699
0.0,44.0,30.0,0.027269967053860242
2.0,43.0,45.0,0.08414504807130399
4.0,42.0,45.0,0.29135125163770337
2.0,43.0,45.0,0.05420174877116602
2.0,42.0,45.0,0.21104519527876955
6.0,44.0,30.0,0.00043415571550280813
0.0,44.0,30.0,0.017287735955352046
2.0,43.0,45.0,0.057474993849314836
2.0,43.0,45.0,0.0621448366371552
8.0,42.0,45.0,0.0008479218001646176
8.0,44.0,30.0,0.0
4.0,42.0,45.0,0.26997296692636
6.0,42.0,45.0,0.02106667531309332
0.0,44.0,30.0,0.03403174843726739
2.0,44.0,30.0,0.006409467953447273
8.0,44.0,30.0,0.0
6.0,44.0,30.0,0.0003162406387744663
8.0,43.0,45.0,3.0166541565680307e-05
8.0,43.0,45.0,4.5975616550322806e-05
2.0,44.0,30.0,0.00906763213161126
4.0,43.0,45.0,0.06641831035885147
0.0,42.0,45.0,0.53
0.0,43.0,45.0,0.34633484248176055
0.0,42.0,45.0,0.53
0.0,43.0,45.0,0.11361358086320426
8.0,44.0,30.0,7.524414045114623e-08
4.0,43.0,45.0,0.04399103047117508
2.0,43.0,45.0,0.060209512649100225
6.0,42.0,45.0,0.02539501132238002
4.0,43.0,45.0,0.04089381187335735
4.0,43.0,45.0,0.05534899271992234
0.0,43.0,45.0,0.13138536133715592
0.0,42.0,45.0,0.53
4.0,44.0,30.0,0.008752666743699936
4.0,43.0,45.0,0.03800048791841279
2.0,42.0,45.0,0.23198889456227564
6.0,43.0,45.0,0.011028497083210338
6.0,44.0,30.0,0.0004984001161747177
8.0,42.0,45.0,0.0005918506751506959
6.0,42.0,45.0,0.02154548130102045
8.0,42.0,45.0,0.0006890214672872387
8.0,44.0,30.0,0.0
6.0,42.0,45.0,0.017264285978112217
8.0,42.0,45.0,0.001062768709941483
6.0,42.0,45.0,0.02065677440709323
6.0,44.0,30.0,0.00022119937379477288
6.0,43.0,45.0,0.013359326274616265
8.0,42.0,45.0,0.0005086133474496801
4.0,44.0,30.0,0.01002951617268198
8.0,43.0,45.0,7.254503717372099e-05
8.0,43.0,45.0,4.893600799094069e-05
8.0,44.0,30.0,0.0
4.0,44.0,30.0,0.010371193929556311
0.0,44.0,30.0,0.01728054031799587
8.0,42.0,45.0,0.0007584122696950623
4.0,42.0,45.0,0.3949225272058976
0.0,44.0,30.0,0.0217376413923565
8.0,43.0,45.0,3.00611840386643e-05
8.0,42.0,45.0,0.0007556964322057793
4.0,42.0,45.0,0.2534074180249661
2.0,43.0,45.0,0.07042822586393946
2.0,42.0,45.0,0.21823799831083324
4.0,44.0,30.0,0.010194523021313828
4.0,42.0,45.0,0.3792475543518838
0.0,43.0,45.0,0.2370597762342205
6.0,44.0,30.0,0.00032323911360657235
6.0,44.0,30.0,0.0003872438379434419
4.0,42.0,45.0,0.24905065719320751
6.0,43.0,45.0,0.00878728922208209
2.0,43.0,45.0,0.062478025027054074
2.0,43.0,45.0,0.046646621963043616
2.0,43.0,45.0,0.047033946495570834
4.0,44.0,30.0,0.006258022533244599
4.0,43.0,45.0,0.04105668610645252
4.0,44.0,30.0,0.008216958258400948
2.0,42.0,45.0,0.3792475543518838
0.0,42.0,45.0,0.53
6.0,44.0,30.0,0.0004511375005237404
0.0,43.0,45.0,0.16891826423918976
0.0,44.0,30.0,0.015597534972571412
6.0,42.0,45.0,0.03215744144988998
4.0,44.0,30.0,0.00957683379736854
8.0,44.0,30.0,0.0
8.0,44.0,30.0,0.0
8.0,42.0,45.0,0.0005167223495120299
6.0,43.0,45.0,0.009675494365471667
8.0,43.0,45.0,3.70391049563265e-05
6.0,43.0,45.0,0.014957301833970038
0.0,44.0,30.0,0.012897128321780502
6.0,42.0,45.0,0.027422946209801333
2.0,42.0,45.0,0.2800277969796405
0.0,42.0,45.0,0.53
0.0,44.0,30.0,0.02560654954289938
6.0,43.0,45.0,0.01523678353180296
2.0,43.0,45.0,0.05102339559159741
8.0,44.0,30.0,0.0
0.0,42.0,45.0,0.53
6.0,43.0,45.0,0.011914723564608211
6.0,42.0,45.0,0.016252453620626713
0.0,42.0,45.0,0.44362765513196617
2.0,44.0,30.0,0.007803719409779902
6.0,43.0,45.0,0.01150589693753862
0.0,42.0,45.0,0.53
0.0,44.0,30.0,0.021900752314910985
2.0,43.0,45.0,0.04508528051912214
8.0,42.0,45.0,0.0010582995453246777
4.0,42.0,45.0,0.22670431267944674
0.0,43.0,45.0,0.1866986499892582
8.0,43.0,45.0,4.684203452296194e-05
2.0,43.0,45.0,0.04105668610645252
2.0,44.0,30.0,0.008797518145834965
6.0,42.0,45.0,0.017670040057797372
0.0,44.0,30.0,0.020291744983336513
6.0,44.0,30.0,0.0001958305317145828
2.0,42.0,45.0,0.2617955799494338
8.0,43.0,45.0,3.240243857164166e-05
4.0,43.0,45.0,0.057474993849314836
8.0,44.0,30.0,6.343101158206711e-08
0.0,43.0,45.0,0.19045663626404635
0.0,44.0,30.0,0.035802199611564424
8.0,44.0,30.0,3.436129975022465e-08
8.0,42.0,45.0,0.0004931711894518502
2.0,44.0,30.0,0.010194523021313828
2.0,43.0,45.0,0.039114234186474583
0.0,42.0,45.0,0.53
4.0,43.0,45.0,0.06650615003386845
6.0,42.0,45.0,0.025661592295875876
6.0,43.0,45.0,0.012911430605994903
0.0,42.0,45.0,0.53
8.0,43.0,45.0,2.8128958055273396e-05
2.0,42.0,45.0,0.24080456072687614
2.0,43.0,45.0,0.04089381187335735
2.0,43.0,45.0,0.05231872256114557
0.0,42.0,45.0,0.53
4.0,42.0,45.0,0.20777946407551895
2.0,43.0,45.0,0.055143209320458596
6.0,43.0,45.0,0.01078351345076267
2.0,43.0,45.0,0.05245261813057355
6.0,44.0,30.0,0.0003352955071244429
4.0,44.0,30.0,0.01024031742220036
2.0,43.0,45.0,0.044721417235146756
6.0,42.0,45.0,0.025039288405277086
8.0,42.0,45.0,0.00046487602693431597
4.0,43.0,45.0,0.06083724099005676
2.0,43.0,45.0,0.03856604462306657
0.0,42.0,45.0,0.53
4.0,43.0,45.0,0.039398552199106915
4.0,42.0,45.0,0.2382453507931373
6.0,43.0,45.0,0.011173983167790696
4.0,43.0,45.0,0.03438622847067523
0.0,42.0,45.0,0.53
6.0,43.0,45.0,0.012094803509155202
0.0,44.0,30.0,0.0105054040900941
2.0,43.0,45.0,0.07542135481956519
4.0,44.0,30.0,0.005446241017075777
6.0,42.0,45.0,0.019311303906494666
0.0,43.0,45.0,0.17273780071463082
6.0,42.0,45.0,0.01466518949439127
4.0,44.0,30.0,0.009123839860259456
4.0,44.0,30.0,0.007333407450059671
4.0,43.0,45.0,0.054924790745469174
2.0,42.0,45.0,0.2664369788866614
2.0,42.0,45.0,0.24445994064975188
4.0,44.0,30.0,0.008199349514484202
2.0,43.0,45.0,0.052461919050176
0.0,42.0,45.0,0.4432299164686127
6.0,43.0,45.0,0.01527881886092448
4.0,43.0,45.0,0.046646621963043616
0.0,43.0,45.0,0.17529282452499437
0.0,43.0,45.0,0.14797550741514248
2.0,44.0,30.0,0.006258022533244599
4.0,44.0,30.0,0.007176426875591732
2.0,44.0,30.0,0.009675728976001777
2.0,43.0,45.0,0.03172548640846404
6.0,43.0,45.0,0.009204654587181697
6.0,44.0,30.0,0.00025561715182548657
0.0,42.0,45.0,0.53
4.0,43.0,45.0,0.03172548640846404
0.0,42.0,45.0,0.4426232825514296
4.0,42.0,45.0,0.21104519527876955
6.0,42.0,45.0,0.013949089652479575
8.0,44.0,30.0,0.0
8.0,42.0,45.0,0.000765028484786763
4.0,44.0,30.0,0.008085977523646709
6.0,43.0,45.0,0.015489146837762565
2.0,43.0,45.0,0.033342818219852965
2.0,44.0,30.0,0.00957683379736854
6.0,42.0,45.0,0.020504116077827685
0.0,43.0,45.0,0.17856707681904346
0.0,44.0,30.0,0.025792379252115808
6.0,42.0,45.0,0.02607540145290992
6.0,43.0,45.0,0.012676593283714828
6.0,42.0,45.0,0.018031002334703543
0.0,43.0,45.0,0.1381486863604262
2.0,43.0,45.0,0.06653379241458741
6.0,42.0,45.0,0.026981887116907053
4.0,42.0,45.0,0.2499945424628398
6.0,43.0,45.0,0.0072360066091825504
4.0,44.0,30.0,0.00789955115379784
4.0,42.0,45.0,0.233684442202997
6.0,44.0,30.0,0.00016690460708659164
4.0,44.0,30.0,0.007635723893381072
0.0,44.0,30.0,0.01879656025342494
4.0,44.0,30.0,0.00804639346154911
2.0,42.0,45.0,0.3006740160248341
8.0,44.0,30.0,0.0
6.0,42.0,45.0,0.032007770366184095
6.0,42.0,45.0,0.029770264000470836
6.0,44.0,30.0,0.0003421055141792171
6.0,42.0,45.0,0.023005061446195605
0.0,42.0,45.0,0.53
4.0,43.0,45.0,0.04772387515309607
8.0,44.0,30.0,0.0
4.0,42.0,45.0,0.2587341281589301
8.0,42.0,45.0,0.0006582867730505781
4.0,42.0,45.0,0.3441057934788478
8.0,44.0,30.0,0.0
8.0,44.0,30.0,0.0
8.0,43.0,45.0,3.659201755488136e-05
8.0,43.0,45.0,2.9318220861991784e-05
8.0,44.0,30.0,2.1275269679707307e-07
4.0,42.0,45.0,0.24402130321576454
8.0,42.0,45.0,0.0007355973406958365
2.0,44.0,30.0,0.006762808182296413
0.0,43.0,45.0,0.21519268668935615
2.0,44.0,30.0,0.00873499081476433
8.0,42.0,45.0,0.0005944199638403997
0.0,43.0,45.0,0.1894412096370821
0.0,44.0,30.0,0.02763231641608073
2.0,42.0,45.0,0.26435382920303246
4.0,44.0,30.0,0.007608992083860056
6.0,43.0,45.0,0.010194752288548216
4.0,42.0,45.0,0.20103971915903868
6.0,44.0,30.0,0.000342157653184408
0.0,42.0,45.0,0.53
2.0,42.0,45.0,0.3809632501952107
2.0,44.0,30.0,0.011729077742603526
0.0,42.0,45.0,0.53
2.0,42.0,45.0,0.2382453507931373
8.0,43.0,45.0,5.6228652519955845e-05
4.0,42.0,45.0,0.3189235146373091
4.0,44.0,30.0,0.006226639393542944
6.0,44.0,30.0,0.00026593714765871474
4.0,44.0,30.0,0.007231887819972568
4.0,43.0,45.0,0.08414504807130399
4.0,43.0,45.0,0.05521944610805341
2.0,43.0,45.0,0.09058445343235268
6.0,43.0,45.0,0.012525909011796859
4.0,42.0,45.0,0.2664369788866614
0.0,44.0,30.0,0.011553009208707544
2.0,43.0,45.0,0.04594558960119536
2.0,43.0,45.0,0.04704384373216177
4.0,43.0,45.0,0.0525743439651781
6.0,43.0,45.0,0.01613694667882752
4.0,42.0,45.0,0.29332266490919956
4.0,42.0,45.0,0.22983936009000872
6.0,44.0,30.0,0.0005921808169726023
2.0,43.0,45.0,0.04408508431217259
4.0,43.0,45.0,0.04594558960119536
4.0,44.0,30.0,0.00873499081476433
6.0,43.0,45.0,0.012619524208479813
8.0,43.0,45.0,2.4271782570046043e-05
6.0,43.0,45.0,0.014540187913139378
6.0,43.0,45.0,0.009831570278055105
4.0,42.0,45.0,0.26425105891218226
6.0,43.0,45.0,0.008820064509813336
4.0,43.0,45.0,0.055143209320458596
4.0,43.0,45.0,0.058754291166331796
2.0,42.0,45.0,0.29550803451611074
6.0,42.0,45.0,0.01947913700913433
6.0,42.0,45.0,0.025778916403739468
6.0,44.0,30.0,0.0002197880567690662
6.0,42.0,45.0,0.027224613702289555
