Радиация,Температура,Время,CEM43,real_survival,synthetic_mean,synthetic_median,synthetic_count,abs_mean_error,abs_median_error,Примененные_правила,Evidence_IDs,Объяснение
0.0,42.0,45.0,11.25,0.53,0.5177909053458291,0.53,67,0.012209094654170971,0.0,CL1; CL3,E03; E05; E06,CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL3: это самый мягкий тепловой режим в наблюдаемом дизайне и он должен давать наибольшую выживаемость среди трех терморежимов. Без радиации различия между точками определяются главным образом тепловым порядком режимов.
0.0,43.0,45.0,45.0,0.18,0.18583520697433267,0.17679927538908188,67,0.0058352069743326795,0.0032007246109181098,CL1; CL3; CL4,E01; E03; E05; E06; E14,"CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL2: режим попадает в окно 41-43 C и 30-60 мин, где по статьям ожидается подавление репарации ДНК и радиосенсибилизация. CL3/CL4: режим должен лежать между 42C_45min и 44C_30min по степени повреждения. Без радиации различия между точками определяются главным образом тепловым порядком режимов."
0.0,44.0,30.0,60.0,0.021,0.02179701289045855,0.021498904047975807,67,0.0007970128904585504,0.0004989040479758053,CL1; CL3; CL4,E01; E03; E05; E06; E14,"CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL4: температура выше 43 C смещает механизм к более выраженному direct heat kill. CL3: в наблюдаемом домене этот режим не должен выглядеть мягче, чем 43C_45min. Без радиации различия между точками определяются главным образом тепловым порядком режимов."
2.0,42.0,45.0,11.25,0.26,0.2710677025578901,0.2664369788866614,67,0.01106770255789008,0.006436978886661393,CL1; CL2; CL3,E03; E04; E05; E06,"CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL2: 42 C, 45 мин остается внутри sensitizing window и может усиливать радиочувствительность без выхода в более жесткий тепловой режим. CL3: это самый мягкий тепловой режим в наблюдаемом дизайне и он должен давать наибольшую выживаемость среди трех терморежимов."
2.0,43.0,45.0,45.0,0.051,0.05328337787892222,0.052461919050176,67,0.002283377878922223,0.0014619190501760013,CL1; CL2; CL3; CL4,E01; E03; E04; E05; E06; E14,"CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL2: режим попадает в окно 41-43 C и 30-60 мин, где по статьям ожидается подавление репарации ДНК и радиосенсибилизация. CL3/CL4: режим должен лежать между 42C_45min и 44C_30min по степени повреждения."
2.0,44.0,30.0,60.0,0.008,0.008309315801540604,0.00813288006473662,67,0.00030931580154060397,0.000132880064736619,CL1; CL3; CL4,E01; E03; E05; E06; E14,"CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL4: температура выше 43 C смещает механизм к более выраженному direct heat kill. CL3: в наблюдаемом домене этот режим не должен выглядеть мягче, чем 43C_45min."
4.0,42.0,45.0,11.25,0.26,0.2604953208734989,0.2534074180249661,67,0.0004953208734989056,0.006592581975033929,CL1; CL2; CL3,E03; E04; E05; E06,"CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL2: 42 C, 45 мин остается внутри sensitizing window и может усиливать радиочувствительность без выхода в более жесткий тепловой режим. CL3: это самый мягкий тепловой режим в наблюдаемом дизайне и он должен давать наибольшую выживаемость среди трех терморежимов."
4.0,43.0,45.0,45.0,0.051,0.05136627030525199,0.05113290466725801,66,0.0003662703052519922,0.00013290466725801586,CL1; CL2; CL3; CL4,E01; E03; E04; E05; E06; E14,"CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL2: режим попадает в окно 41-43 C и 30-60 мин, где по статьям ожидается подавление репарации ДНК и радиосенсибилизация. CL3/CL4: режим должен лежать между 42C_45min и 44C_30min по степени повреждения."
4.0,44.0,30.0,60.0,0.008,0.007972655050674468,0.007817379009890733,66,2.7344949325531706e-05,0.0001826209901092668,CL1; CL3; CL4,E01; E03; E05; E06; E14,"CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL4: температура выше 43 C смещает механизм к более выраженному direct heat kill. CL3: в наблюдаемом домене этот режим не должен выглядеть мягче, чем 43C_45min."
6.0,42.0,45.0,11.25,0.022,0.022499319541188712,0.021906134023789416,66,0.0004993195411887134,9.386597621058312e-05,CL1; CL2; CL3,E03; E04; E05; E06,"CL1: при фиксированном терморежиме выживаемость не должна расти с дозой радиации. CL2: 42 C, 45 мин остается внутри sensitizing window и может усиливать радиочувствительность без выхода в более жесткий тепловой режим. CL3: это самый мягкий тепловой режим в наблюдаемом дизайне и он должен давать наибольшую выживаемость среди трех терморежимов."
